ID,Name,Date,Year,Month,Day,Time,Status,Latitude,Longitude,Maximum.Wind,Minimum.Pressure,Decade
AL061851,UNNAMED,1851-10-16,1851,October,16,1200,TS,29.5,-77.5,50,NA,Other
AL041851,UNNAMED,1851-08-23,1851,August,23,1200,Cat. 3,28.5,-86.6,100,NA,Other
AL041851,UNNAMED,1851-08-20,1851,August,20,600,Cat. 1,20.5,-77.6,70,NA,Other
AL051852,UNNAMED,1852-10-10,1852,October,10,0,Cat. 1,30.5,-83.9,80,NA,Other
AL051852,UNNAMED,1852-10-07,1852,October,7,1800,Cat. 2,19.5,-84.4,90,NA,Other
AL041852,UNNAMED,1852-09-25,1852,September,25,0,Cat. 1,19.5,-67.4,80,NA,Other
AL031852,UNNAMED,1852-09-11,1852,September,11,0,Cat. 1,27.5,-85.1,70,NA,Other
AL031852,UNNAMED,1852-09-12,1852,September,12,1800,TS,28.5,-80.5,50,NA,Other
AL011852,UNNAMED,1852-08-22,1852,August,22,600,Cat. 2,23.5,-80.1,90,NA,Other
AL021852,UNNAMED,1852-09-06,1852,September,6,1200,TS,19.5,-71.4,40,NA,Other
AL041852,UNNAMED,1852-09-28,1852,September,28,1800,Cat. 1,26.5,-74,80,NA,Other
AL041852,UNNAMED,1852-09-27,1852,September,27,1200,Cat. 1,22.5,-74,80,NA,Other
AL011852,UNNAMED,1852-08-20,1852,August,20,600,Cat. 1,21.5,-71.9,70,NA,Other
AL011852,UNNAMED,1852-08-19,1852,August,19,0,TS,20.5,-67.1,60,NA,Other
AL081853,UNNAMED,1853-10-19,1853,October,19,1200,Cat. 1,28.5,-79.3,80,NA,Other
AL081853,UNNAMED,1853-10-19,1853,October,19,0,Cat. 1,27.5,-78.5,70,NA,Other
AL051854,UNNAMED,1854-10-21,1854,October,21,600,TS,29.5,-67,60,NA,Other
AL041855,UNNAMED,1855-08-27,1855,August,27,1200,TS,19.5,-72.3,40,NA,Other
AL041855,UNNAMED,1855-08-25,1855,August,25,600,TS,13.5,-61.9,60,NA,Other
AL031855,UNNAMED,1855-08-11,1855,August,11,1200,Cat. 1,12.5,-83,70,NA,Other
AL051856,UNNAMED,1856-08-30,1856,August,30,1800,Cat. 3,27.5,-87.3,100,NA,Other
AL021857,UNNAMED,1857-09-10,1857,September,10,600,Cat. 1,30.5,-76.2,70,NA,Other
AL021857,UNNAMED,1857-09-09,1857,September,9,1200,Cat. 1,29.5,-74.7,70,NA,Other
